"Cikknev";"Cikkszam";"Vonalkod";"MennyisegiEgyseg"
"GRAF ULTRA G50 Kapus Korcsolya Fekete SR 12D-es méret";"1G50/90D-12";"0000000000137";"Pár"
"GRAF ULTRA G50 Kapus Korcsolya Fekete SR 13D-s méret";"1G50/90D-13";"0000000000138";"Pár"
"GRAF ULTRA G50 Kapus Korcsolya Fekete SR 6.5D-s méret";"1G50/90D-6,5";"0000000000140";"Pár"
"GRAF ULTRA G50 Kapus Korcsolya Fekete SR 6D-s méret";"1G50/90D-6";"0000000000139";"Pár"
"GRAF ULTRA G50 Kapus Korcsolya Fekete SR 7.5D-s méret";"1G50/90D-7,5";"0000000000142";"Pár"
"GRAF ULTRA G50 Kapus Korcsolya Fekete SR 7D-s méret";"1G50/90D-7";"0000000000141";"Pár"
"GRAF ULTRA G50 Kapus Korcsolya Fekete SR 8.5D-s méret";"1G50/90D-8,5";"0000000000144";"Pár"
"GRAF ULTRA G50 Kapus Korcsolya Fekete SR 9.5D-ös méret";"1G50/90D-9,5";"0000000000146";"Pár"
"GRAF ULTRA G50 Kapus Korcsolya Fekete SR 9D-es méret";"1G50/90D-9";"0000000000145";"Pár"
"GRAF ULTRA G50 Kapus Korcsolya Fekete/ Fehér SR 8D-s méret";"1G50/90D-8";"0000000000143";"Pár"
"GRAF ULTRA G7 Korcsolya Cipő Fekete SR 10,5 EE-s méret";"1G7/99-10,5-EE_Bootsonly";"0000000001107";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 10.5D-s méret";"1G7/99-10,5-D";"0000000003232";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 10.5EE-s méret";"1G7/99-10,5-EE";"0000000003233";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 10D-s méret";"1G7/99-10-D";"0000000003220";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 10EE-s méret";"1G7/99-10-EE";"0000000003234";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 11.5D-s méret";"1G7/99-11,5-D";"0000000003222";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 11.5EE-s méret";"1G7/99-11,5-EE";"0000000003235";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 11D-s méret";"1G7/99-11-D";"0000000003221";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 11EE-s méret";"1G7/99-11-EE";"0000000003236";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 12D-s méret";"1G7/99-12-D";"0000000003223";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 12EE-s méret";"1G7/99-12-EE";"0000000003237";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 13D-s méret";"1G7/99-13-D";"0000000003238";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 6.5D-s méret";"1G7/99-6,5-D";"0000000003224";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 6.5EE-s méret";"1G7/99-6,5-EE";"0000000003239";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 6D-s méret";"1G7/99-6-D";"0000000003227";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 6EE-s méret";"1G7/99-6-EE";"0000000003240";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 7.5D-s méret";"1G7/99-7,5-D";"0000000003229";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 7.5EE-s méret";"1G7/99-7,5-EE";"0000000003241";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 7D-s méret";"1G7/99-7-D";"0000000003225";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 7EE-s méret";"1G7/99-7-EE";"0000000003242";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 8.5D-s méret";"1G7/99-8,5-D";"0000000003228";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 8.5EE-s méret";"1G7/99-8,5-EE";"0000000003243";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 8D-s méret";"1G7/99-8-D";"0000000003231";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 8EE-s méret";"1G7/99-8-EE";"0000000003244";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 9.5D-s méret";"1G7/99-9,5-D";"0000000003230";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 9.5EE-s méret";"1G7/99-9,5-EE";"0000000003245";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 9D-s méret";"1G7/99-9-D";"0000000003226";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete SR 9EE-s méret";"1G7/99-9-EE";"0000000003246";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 10.5D-s méret";"1G7/90-10,5-D";"0000000000081";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 10.5EE-s méret";"1G7/90-10,5-EE";"0000000000082";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 10D-s méret";"1G7/90-10-D";"0000000000083";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 10EE-s méret";"1G7/90-10-EE";"0000000000107";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 11.5D-s méret";"1G7/90-11,5-D";"0000000000106";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 11.5EE-s méret";"1G7/90-11,5-EE";"0000000000105";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 11D-s méret";"1G7/90-11-D";"0000000000104";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 11EE-s méret";"1G7/90-11-EE";"0000000000103";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 12D-s méret";"1G7/90-12-D";"0000000000102";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 12EE-s méret";"1G7/90-12-EE";"0000000000101";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 6.5D-s méret";"1G7/90-6,5-D";"0000000000100";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 6.5E-s méret";"1G7/90-6,5-E";"0000000000099";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 6.5EE-s méret";"1G7/90-6,5-EE";"0000000000098";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 6D-s méret";"1G7/90-6-D";"0000000000097";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 6EE-s méret";"1G7/90-6-EE";"0000000000096";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 7.5D-s méret";"1G7/90-7,5-D";"0000000000095";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 7.5EE-s méret";"1G7/90-7,5-EE";"0000000000094";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 7D-s méret";"1G7/90-7-D";"0000000000093";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 7EE-s méret";"1G7/90-7-EE";"0000000000092";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 8.5D-s méret";"1G7/90-8,5-D";"0000000000091";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 8.5EE-s méret";"1G7/90-8,5-EE";"0000000000090";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 8D-s méret";"1G7/90-8-D";"0000000000089";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 8EE-s méret";"1G7/90-8-EE";"0000000000088";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 9.5D-s méret";"1G7/90-9,5-D";"0000000000087";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 9.5EE-s méret";"1G7/90-9,5-EE";"0000000000086";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 9D-s méret";"1G7/90-9-D";"0000000000085";"Pár"
"GRAF ULTRA G7 Korcsolya Fekete/Fehér SR 9EE-s méret";"1G7/90-9-EE";"0000000000084";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete SR 9.5D-s méret";"1G70/50-9,5-D";"0000000001070";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst JR 1.5D PLUS-os méret";"1G70/8JR-D-1,5";"0000000000925";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst JR 1D PLUS-os méret";"1G70/8JR-D-1";"0000000000924";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst JR 2.5D PLUS-os méret";"1G70/8JR-D-2,5";"0000000000923";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst JR 2D PLUS-os méret";"1G70/8JR-D-2";"0000000000922";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst JR 3.5D PLUS-os méret";"1G70/8JR-D-3,5";"0000000000921";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst JR 3D PLUS-os méret";"1G70/8JR-D-3";"0000000000920";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst JR 4.5D PLUS-os méret";"1G70/8JR-D-4,5";"0000000000919";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst JR 4D PLUS-os méret";"1G70/8JR-D-4";"0000000000918";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst JR 5.5D PLUS-os méret";"1G70/8JR-D-5,5";"0000000000917";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst JR 5D PLUS-os méret";"1G70/8JR-D-5";"0000000000916";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 10 D-s méret";"1G70/8-10-D";"0000000000915";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 10.5D-s méret";"1G70/8-10,5-D";"0000000000914";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 10.5EE-s méret";"1G70/8-10,5-EE";"0000000000913";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 10EE-s méret";"1G70/8-10-EE";"0000000000912";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 11.5D-s méret";"1G70/8-11,5-D";"0000000000911";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 11.5EE-s méret";"1G70/8-11,5-EE";"0000000000910";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 11D-s méret";"1G70/8-11-D";"0000000000909";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 11EE-s méret";"1G70/8-11-EE";"0000000000908";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 12D-s méret";"1G70/8-12-D";"0000000000907";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 12EE-s méret";"1G70/8-12-EE";"0000000000906";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 6.5D-s méret";"1G70/8-6,5-D";"0000000000905";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 6.5EE-s méret";"1G70/8-6,5-EE";"0000000000904";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 6D-s méret";"1G70/8-6-D";"0000000000903";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 6EE-s méret";"1G70/8-6-EE";"0000000000902";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 7.5D-s méret";"1G70/8-7,5-D";"0000000000901";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 7.5EE-s méret";"1G70/8-7,5-EE";"0000000000900";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 7D-s méret";"1G70/8-7-D";"0000000000899";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 7EE-s méret";"1G70/8-7-EE";"0000000000898";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 8.5D-s méret";"1G70/8-8,5-D";"0000000000897";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 8.5EE-s méret";"1G70/8-8,5-EE";"0000000000896";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 8D-s méret";"1G70/8-8-D";"0000000000895";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 8EE-s méret";"1G70/8-8-EE";"0000000000894";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 9.5D-s méret";"1G70/8-9,5-D";"0000000000893";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 9.5EE-s méret";"1G70/8-9,5-EE";"0000000000892";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 9D-s méret";"1G70/8-9-D";"0000000000891";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Ezüst SR 9EE-s méret";"1G70/8-9-EE";"0000000000890";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér JR 1.5D-s méret";"1G70/JR-D-1,5";"0000000000889";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér JR 1D-s méret";"1G70/JR-D-1";"0000000000888";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér JR 2.5D-s méret";"1G70/JR-D-2,5";"0000000000887";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér JR 2D-s méret";"1G70/JR-D-2";"0000000000886";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér JR 3.5D-s méret";"1G70/JR-D-3,5";"0000000000885";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér JR 3D-s méret";"1G70/JR-D-3";"0000000000884";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér JR 4,EE-s méret";"1G70/JR-D-4,EE";"0000000001071";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér JR 4.5D-s méret";"1G70/JR-D-4,5";"0000000000883";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér JR 4D-s méret";"1G70/JR-D-4";"0000000000882";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér JR 5.5D-s méret";"1G70/JR-D-5,5";"0000000000881";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér JR 5D-s méret";"1G70/JR-D-5";"0000000000880";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 10.5D-s méret";"1G70/50-10,5-D";"0000000000879";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 10.5EE-s méret";"1G70/50-10,5-EE";"0000000000878";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 10D-s méret";"1G70/50-10-D";"0000000000877";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 10EE-s méret";"1G70/50-10-EE";"0000000000876";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 11.5D-s méret";"1G70/50-11,5-D";"0000000000875";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 11.5EE-s méret";"1G70/50-11,5-EE";"0000000000874";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 11D-s méret";"1G70/50-11-D";"0000000000873";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 11EE-s méret";"1G70/50-11-EE";"0000000000872";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 12D-s méret";"1G70/50-12-D";"0000000000871";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 12EE-s méret";"1G70/50-12-EE";"0000000000870";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 13D-s méret";"1G70/0-50-13-D";"0000000000869";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 6.5 D-s méret";"1G70/50-6,5-D";"0000000000868";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 6.5EE-s méret";"1G70/50-6,5-EE";"0000000000867";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 6D-s méret";"1G70/50-6-D";"0000000000866";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 6EE-s méret";"1G70/50-6-EE";"0000000000865";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 7.5D-s méret";"1G70/50-7,5-D";"0000000000864";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 7.5EE-s méret";"1G70/50-7,5-EE";"0000000000863";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 7D-s méret";"1G70/50-7-D";"0000000000862";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 7EE-s méret";"1G70/50-7-EE";"0000000000861";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 8.5D-s méret";"1G70/50-8,5-D";"0000000000860";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 8.5EE-s méret";"1G70/50-8,5-EE";"0000000000859";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 8D-s méret";"1G70/50-8-D";"0000000000858";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 8EE-s méret";"1G70/50-8-EE";"0000000000857";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 9.5D-s méret";"1G70/50-9,5-D";"0000000000856";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 9.5EE-s méret";"1G70/50-9,5-EE";"0000000000855";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 9D-s méret";"1G70/50-9-D";"0000000000854";"Pár"
"GRAF ULTRA G70 Korcsolya Fekete/Fehér SR 9EE-s méret";"1G70/50-9-EE";"0000000000853";"Pár"
"GRAF ULTRA G70 Korcsolya Ultra Lite 5000 Pengével Fekete SR 10,5D-s méret";"1G70/99/10,5D";"0000000000119";"Pár"
"GRAF ULTRA G70 Korcsolya Ultra Lite 5000 Pengével Fekete SR 10,5EE-s méret";"1G70/99/10,5EE";"0000000000120";"Pár"
"GRAF ULTRA G70 Korcsolya Ultra Lite 5000 Pengével Fekete SR 10D-s méret";"1G70/99/10D";"0000000000118";"Pár"
"GRAF ULTRA G70 Korcsolya Ultra Lite 5000 Pengével Fekete SR 10EE-s méret";"1G70/99/10EE";"0000000000683";"Pár"
"GRAF ULTRA G70 Korcsolya Ultra Lite 5000 Pengével Fekete SR 11D-s méret";"1G70/99/11D";"0000000000121";"Pár"
"GRAF ULTRA G70 Korcsolya Ultra Lite 5000 Pengével Fekete SR 7,5D-s méret";"1G70/99/7,5D";"0000000001104";"Pár"
"GRAF ULTRA G70 Korcsolya Ultra Lite 5000 Pengével Fekete SR 8,5D-s méret";"1G70/99/8,5D";"0000000000115";"Pár"
"GRAF ULTRA G70 Korcsolya Ultra Lite 5000 Pengével Fekete SR 8D-s méret";"1G70/99/8D";"0000000000114";"Pár"
"GRAF ULTRA G70 Korcsolya Ultra Lite 5000 Pengével Fekete SR 9,5D-s méret";"1G70/99/9,5D";"0000000000117";"Pár"
"GRAF ULTRA G70 Korcsolya Ultra Lite 5000 Pengével Fekete SR 9D-s méret";"1G70/99/9D";"0000000000116";"Pár"
"GRAF ULTRA G7035 Korcsolya Fekete SR 10 D-s méret";"1G7035/99/10D";"0000000000925";"Pár"
"GRAF ULTRA G7035 Korcsolya Fekete SR 10.5 D-s méret";"1G7035/99/10,5D";"0000000000991";"Pár"
"GRAF ULTRA G7035 Korcsolya Fekete SR 11 D-s méret";"1G7035/99/11D";"0000000000992";"Pár"
"GRAF ULTRA G7035 Korcsolya Fekete SR 6 D-s méret";"1G7035/99/6D";"0000000000989";"Pár"
"GRAF ULTRA G7035 Korcsolya Fekete SR 7 D-s méret";"1G7035/99/7D";"0000000000990";"Pár"
"GRAF ULTRA G7035 Korcsolya Fekete SR 8 D-s méret";"1G7035/99/8D";"0000000000922";"Pár"
"GRAF ULTRA G7035 Korcsolya Fekete SR 8.5 D-s méret";"1G7035/99/8,5D";"0000000000923";"Pár"
"GRAF ULTRA G7035 Korcsolya Fekete SR 9 D-s méret";"1G7035/99/9D";"0000000000924";"Pár"
"GRAF ULTRA G7035 Korcsolya Fekete SR 9 EE-s méret";"1G7035/99/9EE";"0000000001029";"Pár"
"GRAF ULTRA G7035 Korcsolya Fekete SR 9,5 D-s méret";"1G7035/99/9,5D";"0000000000921";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete High SR 10,5 EE";"1G75HI/99/10,5 EE";"0000000000745";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete High SR 10.5D-s";"1G75HI/99/10,5 D";"0000000000988";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete High SR 10D-s";"1G75HI/99/10 D";"0000000000987";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete High SR 7.5D-s";"1G75HI/99/7,5 D";"0000000000983";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete High SR 7D-s";"1G75HI/99/7 D";"0000000000982";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete High SR 8.5D-s";"1G75HI/99/8,5 D";"0000000000985";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete High SR 8.5EE-s";"1G75HI/99/8,5 EE";"0000000000064";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete High SR 8D-s";"1G75HI/99/8 D";"0000000000984";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete High SR 9 EE-s";"1G75HI/99/9 EE";"0000000000966";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete High SR 9.5D-s";"1G75HI/99/9,5 D";"0000000000980";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete High SR 9D-s";"1G75HI/99/9 D";"0000000000986";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete JR 3.5D-s méret";"1G75/99/3,5D";"0000000000105";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete JR 4.5D-s méret";"1G75/99/4,5D";"0000000000107";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete JR 4D-s méret";"1G75/99/4D";"0000000000106";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete JR 5.5D-s méret";"1G75/99/5,5D";"0000000000109";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete JR 5D-s méret";"1G75/99/5D";"0000000000108";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 10.5D-s méret";"1G75/99/10,5D";"0000000001507";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 10.5EE-s méret";"1G75/99/10,5EE";"0000000001508";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 10D-s méret";"1G75/99/10D";"0000000001101";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 10EE-s méret";"1G75/99/10EE";"0000000000110";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 11.5D-s méret";"1G75/99/11,5D";"0000000001506";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 11.5EE-s méret";"1G75/99/11,5EE";"0000000000112";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 11D-s méret";"1G75/99/11D";"0000000001505";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 11EE-s méret";"1G75/99/11EE";"0000000000111";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 12D-s méret";"1G75/99/12D";"0000000000852";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 12EE-s méret";"1G75/99/12EE";"0000000000113";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 13EE-s méret";"1G75/99/13EE";"0000000001103";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 6.5D-s méret";"1G75/99/6,5D";"0000000001504";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 6D-s méret";"1G75/99/6D";"0000000001503";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 7.5D-s méret";"1G75/99/7,5D";"0000000001502";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 7D-s méret";"1G75/99/7D";"0000000000851";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 8.5D-s méret";"1G75/99/8,5D";"0000000001501";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 8.5EE-s méret";"1G75/99/8,5EE";"0000000001500";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 8D-s méret";"1G75/99/8D";"0000000001499";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 8EE-s méret";"1G75/99/8EE";"0000000001498";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 9.5D-s méret";"1G75/99/9,5 D";"0000000000100";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 9.5EE-s méret";"1G75/99/9,5 EE";"0000000000101";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 9D-s méret";"1G75/99/9D";"0000000001497";"Pár"
"GRAF ULTRA G75 Korcsolya Ultra Lite 5000 Pengével Fekete SR 9EE-s méret";"1G75/99/9EE";"0000000001496";"Pár"
"GRAF ULTRA G75 Mini játék Ütő GP077 Toe Curve Fehér Balos";"24809";"0000000001261";"darab"
"GRAF ULTRA G75 Mini játék Ütő GP077 Toe Curve Fehér Jobbos";"24810";"0000000001262";"darab"
"GRAF ULTRA G75 Mini játék Ütő GP077 Toe Curve Fekete Balos";"24807";"0000000001264";"darab"
"GRAF ULTRA G75 Mini játék Ütő GP077 Toe Curve Fekete Jobbos";"24808";"0000000001263";"darab"
"GRAF ULTRA G9035 Korcsolya Ultra Lite 5000 Pengével Fekete Sr 10,5D";"1G9035/99-50D-10,5";"0000000000291";"Pár"
"GRAF ULTRA G9035 Korcsolya Ultra Lite 5000 Pengével Fekete Sr 10D";"1G9035/99-50D-10";"0000000000290";"Pár"
"GRAF ULTRA G9035 Korcsolya Ultra Lite 5000 Pengével Fekete Sr 11D";"1G9035/99-50D-11";"0000000000501";"Pár"
"GRAF ULTRA G9035 Korcsolya Ultra Lite 5000 Pengével Fekete Sr 12 EE";"1G9035/99-50D-12 EE";"0000000000901";"Pár"
"GRAF ULTRA G9035 Korcsolya Ultra Lite 5000 Pengével Fekete Sr 7,5D";"1G9035/99-50D-7,5";"0000000000682";"Pár"
"GRAF ULTRA G9035 Korcsolya Ultra Lite 5000 Pengével Fekete Sr 8,5D";"1G9035/99-50D-8,5";"0000000000287";"Pár"
